Benchmark,Size,Solver,Solver Version,Solver Release Year,Status,Termination Condition,Runtime (s),Memory Usage (MB),Objective Value,Max Integrality Violation,Duality Gap,Reported Runtime (s),Timeout,Hostname,Run ID,Timestamp,VM Instance Type,VM Zone,Solver benchmark version,bench-size,solver-version
pypsa-de-elec,16-1h,highs,1.12.0,2025,TO,Timeout,86400,5231.644,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-07,20260211-all-pypsa-de-sizes,2026-02-12 20:50:01.480890,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-16-1h,highs-1.12.0
pypsa-de-elec,16-1h,highs-hipo,1.12.0-hipo,2025,ok,Optimal,2804.80774126599,7198.828,5611433768.2,,,2804.80774126599,86400,benchmark-instance-all-pypsa-de-sizes-07,20260211-all-pypsa-de-sizes,2026-02-12 08:33:38.373160,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-16-1h,highs-hipo-1.12.0-hipo
pypsa-de-elec,16-1h,highs-ipm,1.12.0-hipo,2025,ok,Optimal,41190.598322827,5074.74,5611433768.1,,,41190.598322827,86400,benchmark-instance-all-pypsa-de-sizes-07,20260211-all-pypsa-de-sizes,2026-02-12 09:20:23.864594,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-16-1h,highs-ipm-1.12.0-hipo
pypsa-de-elec,18-1h,cbc,2.10.12,2024,TO,Timeout,86400,1618.428,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-06,20260211-all-pypsa-de-sizes,2026-02-11 08:20:05.874071,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-18-1h,cbc-2.10.12
pypsa-de-elec,18-1h,cplex,22.1.2.0,2025,ok,optimal,786.764489708,14281.308,5584279140.64883,,,1779956815.91656,86400,benchmark-instance-pypsa-de-elec-2-through-20-1h-cplex-01,20260428-pypsa-de-elec-2-through-20-1h-cplex,2026-05-28 08:13:48.599652,c4-highmem-8,us-central1-a,65bc512,pypsa-de-elec-18-1h,
pypsa-de-elec,18-1h,gurobi,13.0.0,2025,ok,optimal,582.177698276006,10066.972,5584278920.59221,,,555.467709064484,86400,benchmark-instance-all-pypsa-de-sizes-06,20260211-all-pypsa-de-sizes,2026-02-12 08:23:47.981854,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-18-1h,gurobi-13.0.0
pypsa-de-elec,18-1h,highs,1.12.0,2025,TO,Timeout,86400,5844.004,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-06,20260211-all-pypsa-de-sizes,2026-02-13 05:07:59.870654,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-18-1h,highs-1.12.0
pypsa-de-elec,18-1h,highs-hipo,1.12.0-hipo,2025,ok,Optimal,13084.017939457,8416.988,5584278920.6,,,13084.017939457,86400,benchmark-instance-all-pypsa-de-sizes-06,20260211-all-pypsa-de-sizes,2026-02-12 08:37:01.343575,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-18-1h,highs-hipo-1.12.0-hipo
pypsa-de-elec,18-1h,highs-ipm,1.12.0-hipo,2025,ok,Optimal,60396.643254604,5875.832,5584278920.6,,,60396.643254604,86400,benchmark-instance-all-pypsa-de-sizes-06,20260211-all-pypsa-de-sizes,2026-02-12 12:18:15.406638,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-18-1h,highs-ipm-1.12.0-hipo
pypsa-de-elec,2-1h,cbc,2.10.12,2024,ok,optimal,1237.209031631,879.56,5028012092.23375,,,,86400,benchmark-instance-all-pypsa-de-small-sizes-00,20260303-all-pypsa-de-small-sizes,2026-03-03 10:20:46.322200,c4-standard-8,us-central1-a,8b506ef,pypsa-de-elec-2-1h,cbc-2.10.12
pypsa-de-elec,2-1h,cplex,22.1.2.0,2025,ok,optimal,11.747175137,2530.604,5028012274.71516,,,1779956101.19076,86400,benchmark-instance-pypsa-de-elec-2-through-20-1h-cplex-09,20260428-pypsa-de-elec-2-through-20-1h-cplex,2026-05-28 08:14:48.856158,c4-highmem-8,us-central1-a,65bc512,pypsa-de-elec-2-1h,
pypsa-de-elec,2-1h,gurobi,13.0.0,2025,ok,optimal,15.8589917699996,1987.588,5028012092.23378,,,10.850291967392,86400,benchmark-instance-all-pypsa-de-small-sizes-00,20260303-all-pypsa-de-small-sizes,2026-03-03 10:56:13.137230,c4-standard-8,us-central1-a,8b506ef,pypsa-de-elec-2-1h,gurobi-13.0.0
pypsa-de-elec,2-1h,highs,1.12.0,2025,ok,optimal,158.422572732,1803.016,5028012092.23374,,,153.228663682938,86400,benchmark-instance-all-pypsa-de-small-sizes-00,20260303-all-pypsa-de-small-sizes,2026-03-03 11:14:25.531047,c4-standard-8,us-central1-a,8b506ef,pypsa-de-elec-2-1h,highs-1.12.0
pypsa-de-elec,2-1h,highs-hipo,1.12.0-hipo,2025,ok,Optimal,194.748873173,1278.044,5028012093.2,,,194.748873173,86400,benchmark-instance-all-pypsa-de-small-sizes-00,20260303-all-pypsa-de-small-sizes,2026-03-03 11:00:15.646915,c4-standard-8,us-central1-a,8b506ef,pypsa-de-elec-2-1h,highs-hipo-1.12.0-hipo
pypsa-de-elec,2-1h,highs-ipm,1.12.0-hipo,2025,ok,Optimal,653.540387853,902.804,5028012094.2,,,653.540387853,86400,benchmark-instance-all-pypsa-de-small-sizes-00,20260303-all-pypsa-de-small-sizes,2026-03-03 11:03:31.177347,c4-standard-8,us-central1-a,8b506ef,pypsa-de-elec-2-1h,highs-ipm-1.12.0-hipo
pypsa-de-elec,20-1h,cbc,2.10.12,2024,TO,Timeout,86400,1749.428,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-05,20260211-all-pypsa-de-sizes,2026-02-11 08:20:01.138677,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-20-1h,cbc-2.10.12
pypsa-de-elec,20-1h,cplex,22.1.2.0,2025,ok,optimal,1061.21215388,16008.68,5687597550.04223,,,1779957113.73207,86400,benchmark-instance-pypsa-de-elec-2-through-20-1h-cplex-00,20260428-pypsa-de-elec-2-through-20-1h-cplex,2026-05-28 08:14:11.903987,c4-highmem-8,us-central1-a,65bc512,pypsa-de-elec-20-1h,
pypsa-de-elec,20-1h,gurobi,13.0.0,2025,ok,optimal,669.565898958012,10996.932,5687597243.94432,,,635.281642198563,86400,benchmark-instance-all-pypsa-de-sizes-05,20260211-all-pypsa-de-sizes,2026-02-12 08:24:12.825632,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-20-1h,gurobi-13.0.0
pypsa-de-elec,20-1h,highs,1.12.0,2025,TO,Timeout,86400,6314.652,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-05,20260211-all-pypsa-de-sizes,2026-02-14 08:47:06.345524,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-20-1h,highs-1.12.0
pypsa-de-elec,20-1h,highs-hipo,1.12.0-hipo,2025,TO,Timeout,86400,163.984,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-05,20260211-all-pypsa-de-sizes,2026-02-12 08:39:34.849020,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-20-1h,highs-hipo-1.12.0-hipo
pypsa-de-elec,20-1h,highs-ipm,1.12.0-hipo,2025,TO,Timeout,86400,163.224,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-05,20260211-all-pypsa-de-sizes,2026-02-13 08:43:21.932132,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-20-1h,highs-ipm-1.12.0-hipo
pypsa-de-elec,22-1h,cbc,2.10.12,2024,TO,Timeout,86400,1932.012,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-04,20260211-all-pypsa-de-sizes,2026-02-11 08:20:58.930832,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-22-1h,cbc-2.10.12
pypsa-de-elec,22-1h,gurobi,13.0.0,2025,ok,optimal,800.682506202997,12875.216,5641816137.26811,,,762.637154102325,86400,benchmark-instance-all-pypsa-de-sizes-04,20260211-all-pypsa-de-sizes,2026-02-12 08:25:08.198206,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-22-1h,gurobi-13.0.0
pypsa-de-elec,22-1h,highs,1.12.0,2025,TO,Timeout,86400,6983.928,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-04,20260211-all-pypsa-de-sizes,2026-02-13 14:16:10.087338,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-22-1h,highs-1.12.0
pypsa-de-elec,22-1h,highs-hipo,1.12.0-hipo,2025,ok,Optimal,19585.029967351,10464.452,5641816137.5,,,19585.029967351,86400,benchmark-instance-all-pypsa-de-sizes-04,20260211-all-pypsa-de-sizes,2026-02-12 08:42:37.578854,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-22-1h,highs-hipo-1.12.0-hipo
pypsa-de-elec,22-1h,highs-ipm,1.12.0-hipo,2025,TO,Timeout,86400,163.152,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-04,20260211-all-pypsa-de-sizes,2026-02-12 14:12:36.706535,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-22-1h,highs-ipm-1.12.0-hipo
pypsa-de-elec,24-1h,cbc,2.10.12,2024,TO,Timeout,86400,2074.74,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-03,20260211-all-pypsa-de-sizes,2026-02-11 08:19:50.187698,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-24-1h,cbc-2.10.12
pypsa-de-elec,24-1h,gurobi,13.0.0,2025,ok,optimal,961.284802675,12581.02,5875329037.18874,,,924.586422920227,86400,benchmark-instance-all-pypsa-de-sizes-03,20260211-all-pypsa-de-sizes,2026-02-12 08:23:38.216120,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-24-1h,gurobi-13.0.0
pypsa-de-elec,24-1h,highs,1.12.0,2025,TO,Timeout,86400,7547.708,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-03,20260211-all-pypsa-de-sizes,2026-02-14 08:50:04.933968,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-24-1h,highs-1.12.0
pypsa-de-elec,24-1h,highs-hipo,1.12.0-hipo,2025,TO,Timeout,86400,163.7,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-03,20260211-all-pypsa-de-sizes,2026-02-12 08:43:35.091327,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-24-1h,highs-hipo-1.12.0-hipo
pypsa-de-elec,24-1h,highs-ipm,1.12.0-hipo,2025,TO,Timeout,86400,164.064,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-03,20260211-all-pypsa-de-sizes,2026-02-13 08:46:51.121331,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-24-1h,highs-ipm-1.12.0-hipo
pypsa-de-elec,26-1h,cbc,2.10.12,2024,TO,Timeout,86400,2204.336,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-02,20260211-all-pypsa-de-sizes,2026-02-11 08:19:43.577670,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-26-1h,cbc-2.10.12
pypsa-de-elec,26-1h,gurobi,13.0.0,2025,ok,optimal,1265.221499384,14391.66,5592911695.71932,,,1227.1122379303,86400,benchmark-instance-all-pypsa-de-sizes-02,20260211-all-pypsa-de-sizes,2026-02-12 08:23:21.115472,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-26-1h,gurobi-13.0.0
pypsa-de-elec,26-1h,highs,1.12.0,2025,TO,Timeout,86400,8010.668,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-02,20260211-all-pypsa-de-sizes,2026-02-13 13:41:54.022023,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-26-1h,highs-1.12.0
pypsa-de-elec,26-1h,highs-hipo,1.12.0-hipo,2025,ok,Optimal,17238.591846984,11772.652,5592911695.7,,,17238.591846984,86400,benchmark-instance-all-pypsa-de-sizes-02,20260211-all-pypsa-de-sizes,2026-02-12 08:48:14.028442,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-26-1h,highs-hipo-1.12.0-hipo
