Benchmark,Size,Solver,Solver Version,Solver Release Year,Status,Termination Condition,Runtime (s),Memory Usage (MB),Objective Value,Max Integrality Violation,Duality Gap,Reported Runtime (s),Timeout,Hostname,Run ID,Timestamp,VM Instance Type,VM Zone,Solver benchmark version,source_file
pypsa-de-sec,10-1h,cplex,22.1.2.0,2025.0,OOM,Out of Memory,,,,,,,86400.0,benchmark-instance-pypsa-de-sec-2-nodes-scaling-cplex-05,20260526-pypsa-de-sec-2-nodes-scaling-cplex,2026-05-26 18:26:36.756689,c4-highmem-8,us-central1-a,acb819f,
pypsa-de-sec,12-1h,cplex,22.1.2.0,2025.0,TO,Timeout,86400.0,54967.244,,,,86400.0,86400.0,benchmark-instance-pypsa-de-sec-2-nodes-scaling-comm-04,20260519-pypsa-de-sec-2-nodes-scaling-comm,2026-05-19 10:15:17.749824,c4-highmem-8,us-central1-a,5bdf255,benchmark-instance-pypsa-de-sec-2-nodes-scaling-comm-04-result.csv
pypsa-de-sec,14-1h,cplex,22.1.2.0,2025.0,OOM,Out of Memory,,,,,,,86400.0,benchmark-instance-pypsa-de-sec-2-nodes-scaling-cplex-03,20260526-pypsa-de-sec-2-nodes-scaling-cplex,2026-05-26 18:25:47.881753,c4-highmem-8,us-central1-a,acb819f,
pypsa-de-sec,16-1h,cplex,22.1.2.0,2025.0,OOM,Out of Memory,,,,,,,86400.0,benchmark-instance-pypsa-de-sec-2-nodes-scaling-cplex-02,20260526-pypsa-de-sec-2-nodes-scaling-cplex,2026-05-26 18:27:04.292393,c4-highmem-8,us-central1-a,acb819f,
pypsa-de-sec,18-1h,cplex,22.1.2.0,2025.0,OOM,Out of Memory,,,,,,,86400.0,benchmark-instance-pypsa-de-sec-2-nodes-scaling-cplex-01,20260526-pypsa-de-sec-2-nodes-scaling-cplex,2026-05-26 18:26:42.256031,c4-highmem-8,us-central1-a,acb819f,
pypsa-de-sec,2-1h,cplex,22.1.2.0,2025.0,ok,optimal,327.11078384099994,9780.04,81991355803.35603,,,1779820314.736293,86400.0,benchmark-instance-pypsa-de-sec-2-nodes-scaling-cplex-09,20260526-pypsa-de-sec-2-nodes-scaling-cplex,2026-05-26 18:26:27.004465,c4-highmem-8,us-central1-a,acb819f,
pypsa-de-sec,20-1h,cplex,22.1.2.0,2025.0,OOM,Out of Memory,,,,,,,86400.0,benchmark-instance-pypsa-de-sec-2-nodes-scaling-cplex-00,20260526-pypsa-de-sec-2-nodes-scaling-cplex,2026-05-26 18:25:57.350154,c4-highmem-8,us-central1-a,acb819f,
pypsa-de-sec,4-1h,cplex,22.1.2.0,2025.0,ok,optimal,1293.265115611,18820.084,81361050890.15439,,,1779821261.054553,86400.0,benchmark-instance-pypsa-de-sec-2-nodes-scaling-cplex-08,20260526-pypsa-de-sec-2-nodes-scaling-cplex,2026-05-26 18:26:07.124782,c4-highmem-8,us-central1-a,acb819f,
pypsa-de-sec,6-1h,cplex,22.1.2.0,2025.0,ok,optimal,2702.861934856,28499.224,81691415830.01482,,,1779822733.623625,86400.0,benchmark-instance-pypsa-de-sec-2-nodes-scaling-cplex-07,20260526-pypsa-de-sec-2-nodes-scaling-cplex,2026-05-26 18:27:09.947771,c4-highmem-8,us-central1-a,acb819f,
pypsa-de-sec,8-1h,cplex,22.1.2.0,2025.0,OOM,Out of Memory,,,,,,,86400.0,benchmark-instance-pypsa-de-sec-2-nodes-scaling-cplex-06,20260526-pypsa-de-sec-2-nodes-scaling-cplex,2026-05-26 18:26:17.691916,c4-highmem-8,us-central1-a,acb819f,
